0,   26.075640,
1,   25.046328,
2,   24.101608,
3,   23.204819,
4,   22.317022,
5,   21.387516,
6,   20.567945,
7,   19.738583,
8,   18.986845,
9,   18.118828,
10,   17.283762,
11,   16.531786,
12,   15.810505,
13,   15.107275,
14,   14.390059,
15,   13.715089,
16,   13.007608,
17,   12.389220,
18,   11.782330,
19,   11.202993,
20,   10.639329,
21,   10.145044,
22,    9.633123,
23,    9.183006,
24,    8.754364,
25,    8.358206,
26,    7.973865,
27,    7.691786,
28,    7.428402,
29,    6.958243,
30,    6.571262,
31,    6.316360,
32,    6.067500,
33,    5.858765,
34,    5.633083,
35,    5.469434,
36,    5.322342,
37,    5.103374,
38,    4.929769,
39,    4.669314,
40,    4.509684,
41,    4.341094,
42,    4.124132,
43,    4.019710,
44,    3.969354,
45,    3.942128,
46,    3.946352,
47,    3.823218,
48,    3.665455,
49,    3.544375,
50,    3.426695,
51,    3.360653,
52,    3.287221,
53,    3.239315,
54,    3.330018,
55,    3.375658,
56,    3.368398,
57,    3.269857,
58,    3.221079,
59,    3.082868,
60,    2.947491,
61,    2.916628,
62,    2.938437,
63,    2.984899,
64,    3.018438,
65,    3.044271,
66,    2.970321,
67,    2.922107,
68,    2.842888,
69,    2.787844,
70,    2.770371,
71,    2.839285,
72,    2.829379,
73,    2.806048,
74,    2.771677,
75,    2.794906,
76,    2.705186,
77,    2.614091,
78,    2.413806,
79,    2.327086,
80,    2.361845,
81,    2.428070,
82,    2.452810,
83,    2.473842,
84,    2.485426,
85,    2.564429,
86,    2.458095,
87,    2.323654,
88,    2.240748,
89,    2.233547,
90,    2.214149,
91,    2.217934,
92,    2.235488,
93,    2.298053,
94,    2.266754,
95,    2.151070,
96,    2.107467,
97,    2.026046,
98,    1.862893,
99,    1.824902,
100,    1.872862,
101,    1.941674,
102,    1.972334,
103,    1.985777,
104,    2.000319,
105,    1.980085,
106,    1.908557,
107,    1.748987,
108,    1.632494,
109,    1.665069,
110,    1.716613,
111,    1.814905,
112,    1.898453,
113,    1.878739,
114,    1.745118,
115,    1.600092,
116,    1.501970,
117,    1.351607,
118,    1.369219,
119,    1.390566,
120,    1.406463,
121,    1.477833,
122,    1.454669,
123,    1.321058,
124,    1.223616,
125,    1.199396,
126,    1.221041,
127,    1.223004,
128,    1.188542,
129,    1.151972,
130,    1.166145,
131,    1.247535,
132,    1.267863,
133,    1.211461,
134,    1.122874,
135,    1.100498,
136,    0.991580,
137,    0.898892,
138,    0.909769,
139,    0.986371,
140,    1.010686,
141,    1.014517,
142,    0.987712,
143,    0.982669,
144,    0.887284,
145,    0.803512,
146,    0.767565,
147,    0.731023,
148,    0.714641,
149,    0.771914,
150,    0.869982,
151,    0.887269,
152,    0.904048,
153,    0.823254,
154,    0.695251,
155,    0.619520,
156,    0.568808,
157,    0.555851,
158,    0.567145,
159,    0.595931,
160,    0.639010,
161,    0.633660,
162,    0.528954,
163,    0.436059,
164,    0.413548,
165,    0.362701,
166,    0.404195,
167,    0.460219,
168,    0.539289,
169,    0.601171,
170,    0.604292,
171,    0.606216,
172,    0.526221,
173,    0.372719,
174,    0.303906,
175,    0.301762,
176,    0.337218,
177,    0.403083,
178,    0.451598,
179,    0.474268,
180,    0.416366,
181,    0.353295,
182,    0.316654,
183,    0.233036,
184,    0.178105,
185,    0.243166,
186,    0.225111,
187,    0.249170,
188,    0.344963,
189,    0.374092,
190,    0.296832,
191,    0.242504,
192,    0.212745,
193,    0.148384,
194,    0.064170,
195,    0.080452,
196,    0.189088,
197,    0.249038,
198,    0.314811,
199,    0.312797,
200,    0.264465,
201,    0.176736,
202,    0.083288,
203,    0.061736,
204,    0.124245,
205,    0.132419,
206,    0.159097,
207,    0.196651,
208,    0.237917,
209,    0.233578,
210,    0.187309,
211,    0.133301,
212,    0.080080,
213,    0.091548,
214,    0.070519,
215,    0.141433,
216,    0.185003,
217,    0.151882,
218,    0.160335,
219,    0.172859,
220,    0.099085,
221,    0.039277,
222,    0.001076,
223,   -0.033687,
224,   -0.022868,
225,    0.087968,
226,    0.259577,
227,    0.351076,
228,    0.219423,
229,    0.092022,
230,    0.001432,
231,   -0.057004,
232,    0.010614,
233,    0.064602,
234,    0.068120,
235,    0.087510,
236,    0.171078,
237,    0.211699,
238,    0.160618,
239,    0.182251,
240,    0.162845,
241,    0.123794,
242,    0.116642,
243,    0.153167,
244,    0.165501,
245,    0.248813,
246,    0.271053,
247,    0.233710,
248,    0.186604,
249,    0.044957,
250,   -0.000000,
251,    0.015301,
252,    0.105452,
253,    0.147092,
254,    0.152435,
255,    0.175828,
256,    0.223781,
257,    0.204849,
258,    0.144544,
259,    0.108187,
260,    0.100235,
261,    0.154507,
262,    0.171238,
263,    0.178166,
264,    0.309230,
265,    0.347239,
266,    0.396961,
267,    0.399847,
268,    0.265409,
269,    0.135008,
270,    0.123005,
271,    0.130185,
272,    0.214159,
273,    0.277068,
274,    0.301653,
275,    0.302482,
276,    0.317242,
277,    0.299832,
278,    0.203022,
279,    0.148270,
280,    0.129530,
281,    0.147787,
282,    0.238575,
283,    0.324243,
284,    0.421722,
285,    0.439763,
286,    0.313422,
287,    0.226045,
288,    0.186617,
289,    0.135640,
290,    0.186812,
291,    0.267506,
292,    0.245444,
293,    0.281958,
294,    0.315874,
295,    0.354488,
296,    0.397904,
297,    0.373754,
298,    0.335834,
299,    0.347932,
300,    0.319395,
301,    0.301645,
302,    0.321030,
303,    0.341752,
304,    0.348177,
305,    0.365854,
306,    0.368218,
307,    0.276017,
308,    0.212913,
309,    0.242046,
310,    0.270329,
311,    0.285712,
312,    0.362784,
313,    0.447880,
314,    0.437803,
315,    0.330122,
316,    0.271132,
317,    0.261463,
318,    0.288873,
319,    0.298107,
320,    0.365220,
321,    0.443439,
322,    0.528105,
323,    0.558878,
324,    0.479099,
325,    0.357712,
326,    0.340287,
327,    0.303300,
328,    0.298694,
329,    0.353870,
330,    0.340563,
331,    0.347992,
332,    0.421331,
333,    0.431050,
334,    0.330021,
335,    0.181399,
336,    0.191218,
337,    0.229188,
338,    0.230171,
339,    0.305108,
340,    0.317695,
341,    0.264982,
342,    0.290651,
343,    0.324290,
344,    0.329019,
345,    0.195710,
346,    0.132718,
347,    0.237326,
348,    0.392265,
349,    0.351845,
350,    0.390612,
351,    0.385362,
352,    0.355348,
353,    0.322912,
354,    0.266757,
355,    0.247638,
356,    0.288608,
357,    0.368186,
358,    0.384642,
359,    0.390125,
360,    0.382850,
361,    0.422545,
362,    0.435311,
363,    0.376332,
364,    0.261578,
365,    0.240608,
366,    0.257112,
367,    0.283235,
368,    0.346190,
369,    0.362916,
370,    0.382366,
371,    0.367029,
372,    0.318697,
373,    0.269895,
374,    0.235836,
375,    0.259828,
376,    0.347437,
377,    0.406113,
378,    0.443194,
379,    0.439613,
380,    0.426566,
381,    0.398803,
382,    0.380229,
383,    0.261780,
384,    0.246969,
385,    0.326439,
386,    0.367308,
387,    0.351434,
388,    0.397577,
389,    0.394924,
390,    0.422048,
391,    0.378614,
392,    0.335220,
393,    0.399092,
394,    0.387861,
395,    0.343806,
396,    0.475463,
397,    0.546561,
398,    0.621677,
399,    0.639601,
400,    0.638202,
401,    0.540356,
402,    0.497637,
403,    0.443072,
404,    0.464856,
405,    0.505869,
406,    0.579100,
407,    0.700425,
408,    0.701238,
409,    0.707938,
410,    0.670893,
411,    0.658986,
412,    0.722565,
413,    0.784714,
414,    0.902733,
415,    0.940019,
416,    0.947662,
417,    0.980179,
418,    1.045108,
419,    1.020553,
420,    1.048410,
421,    1.079782,
422,    1.036896,
423,    1.078717,
424,    1.230125,
425,    1.372856,
426,    1.433376,
427,    1.558228,
428,    1.537136,
429,    1.527407,
430,    1.605613,
431,    1.666024,
432,    1.682961,
433,    1.768840,
434,    1.865090,
435,    1.973128,
436,    2.129589,
437,    2.210436,
438,    2.197429,
439,    2.203565,
440,    2.226625,
441,    2.321036,
442,    2.386682,
443,    2.470683,
444,    2.596670,
445,    2.721806,
446,    2.801685,
447,    2.871832,
448,    2.917441,
449,    2.921467,
450,    3.023496,
451,    3.138370,
452,    3.268084,
453,    3.436612,
454,    3.591748,
455,    3.707803,
456,    3.842579,
457,    3.944672,
458,    4.012984,
459,    4.114143,
460,    4.259287,
461,    4.435169,
462,    4.685445,
463,    4.902437,
464,    5.086018,
465,    5.331763,
466,    5.574342,
467,    5.808363,
468,    6.118559,
469,    6.406665,
470,    6.700262,
471,    7.021089,
472,    7.375647,
473,    7.917484,
474,    8.525517,
475,    8.971925,
476,    9.463247,
477,   10.016641,
478,   10.633082,
479,   11.286231,
480,   12.027291,
481,   12.876224,
482,   13.764165,
483,   14.558173,
484,   15.375579,
485,   16.312368,
486,   17.370956,
487,   18.601080,
488,   19.829912,
489,   21.032108,
490,   22.353846,
491,   23.763660,
492,   25.288893,
493,   26.856215,
494,   28.528334,
495,   30.350519,
496,   32.039650,
497,   33.732738,
498,   35.305817,
499,   36.775738,
500,   38.374672,
